,X.3,X.2,X.1,X,localtimestamp,localdate,date,localtime,location.long,location.lat,ID,dawn,dawnafter,dusk,moonrise,moonset,illumination,moonoverlap,rain,rain.30,displacement,glade.dist,glade.random,maxtemp,effectivedawn,effectivedusk,period,season,moonshine,woody,in.glade,daytemp,partofday,moonprev,delete,startstop,woodyaverage,gladedistmin,p.inglade,moonaverage,glade.dist.km
1,1,1,2307,2307,07/09/2011 10:40,07/09/2011,07/09/2011,10:40:00,36.8361124,0.4958595,1145.11,07/09/2011 06:07,08/09/2011 06:07,07/09/2011 18:56,07/09/2011 14:46,08/09/2011 03:13,0.733225625,08:17:00,30.3,171.2,0,0.000827722,0.000537195,24.82,07/09/2011 06:07,07/09/2011 18:56,Day,Wet,0,0.06301,0,Cool,B,4.655405075,NO,Start,0.063208621,0.000550039,0,0,0.061054329
30,30,30,2336,2336,07/09/2011 16:49,07/09/2011,07/09/2011,16:49:00,36.8356848,0.4955921,1145.11,07/09/2011 06:07,08/09/2011 06:07,07/09/2011 18:56,07/09/2011 14:46,08/09/2011 03:13,0.733225625,08:17:00,30.3,171.2,0.524784851,0.000832276,0.00197703,24.82,07/09/2011 06:07,07/09/2011 18:56,Day,Wet,0,0.05333,0,Cool,C,4.655405075,NO,Start,0.053170769,0.000440851,0,0,0.048934461
43,43,43,2349,2349,07/09/2011 19:00,07/09/2011,07/09/2011,19:00:00,36.8364179,0.4949059,1145.11,07/09/2011 06:07,08/09/2011 06:07,07/09/2011 18:56,07/09/2011 14:46,08/09/2011 03:13,0.733225625,08:17:00,30.3,171.2,0.225715662,0.000549324,0.00035283,24.82,07/09/2011 06:07,07/09/2011 18:56,Night,Wet,0.733225625,0.04666,0,Cool,D,4.655405075,NO,Start,0.054376415,0.000149946,0,0.511874493,0.016644006
96,96,96,2402,2402,08/09/2011 06:10,08/09/2011,08/09/2011,06:10:00,36.8365009,0.494927,1145.11,08/09/2011 06:07,09/09/2011 06:07,08/09/2011 18:55,08/09/2011 15:38,09/09/2011 04:03,0.822222635,09:08:00,0,200.9,0.379063332,0.000471192,0.001339592,25.16,08/09/2011 06:07,08/09/2011 18:55,Day,Wet,0,0.04423,0,Mild,A,6.07355226,NO,Start,0.045014667,0.000471192,0,0,0.052302312
111,111,111,2417,2417,08/09/2011 10:10,08/09/2011,08/09/2011,10:10:00,36.8366507,0.4944632,1145.11,08/09/2011 06:07,09/09/2011 06:07,08/09/2011 18:55,08/09/2011 15:38,09/09/2011 04:03,0.822222635,09:08:00,0,200.9,0.346470922,0.000759708,0.000554632,25.16,08/09/2011 06:07,08/09/2011 18:55,Day,Wet,0,0.03785,0,Mild,B,6.07355226,NO,Start,0.059447742,0.000460488,0,0,0.051114168
142,142,142,2448,2448,08/09/2011 17:20,08/09/2011,08/09/2011,17:20:00,36.8360159,0.4958177,1145.11,08/09/2011 06:07,09/09/2011 06:07,08/09/2011 18:55,08/09/2011 15:38,09/09/2011 04:03,0.822222635,09:08:00,0,200.9,0.168115734,0.000894667,0.001241616,25.16,08/09/2011 06:07,08/09/2011 18:55,Day,Wet,0,0.05419,0,Mild,C,6.07355226,NO,Start,0.046135,0,0.125,0,0
150,150,150,2456,2456,08/09/2011 19:00,08/09/2011,08/09/2011,19:00:00,36.8366182,0.4948669,1145.11,08/09/2011 06:07,09/09/2011 06:07,08/09/2011 18:55,08/09/2011 15:38,09/09/2011 04:03,0.822222635,09:08:00,0,200.9,0.52553311,0.000437384,0.001368354,25.16,08/09/2011 06:07,08/09/2011 18:55,Night,Wet,0.822222635,0.03562,0,Mild,D,6.07355226,NO,Start,0.047178966,0.000251471,0,0.694636364,0.027913281
208,208,208,2514,2514,09/09/2011 06:10,09/09/2011,09/09/2011,06:10:00,36.8360507,0.4950121,1145.11,09/09/2011 06:07,10/09/2011 06:06,09/09/2011 18:55,09/09/2011 16:25,10/09/2011 04:49,0.894336088,09:54:00,0,198.3,0.437048464,0.000837595,0,25.62,09/09/2011 06:07,09/09/2011 18:55,Day,Wet,0,0.04337,0,Mild,A,7.5096334,NO,Start,0.062164737,0.000270961,0,0,0.030076671
227,227,227,2533,2533,09/09/2011 09:40,09/09/2011,09/09/2011,09:40:00,36.8362891,0.4956471,1145.11,09/09/2011 06:07,10/09/2011 06:06,09/09/2011 18:55,09/09/2011 16:25,10/09/2011 04:49,0.894336088,09:54:00,0,198.3,0.158228442,0.000576967,0.000567494,25.62,09/09/2011 06:07,09/09/2011 18:55,Day,Wet,0,0.05756,0,Mild,B,7.5096334,NO,Start,0.059461389,0.000576967,0,0,0.064043337
263,263,263,2569,2569,09/09/2011 17:00,09/09/2011,09/09/2011,17:00:00,36.8356113,0.4954171,1145.11,09/09/2011 06:07,10/09/2011 06:06,09/09/2011 18:55,09/09/2011 16:25,10/09/2011 04:49,0.894336088,09:54:00,0,198.3,0.451990841,0.000748046,0.000656777,25.62,09/09/2011 06:07,09/09/2011 18:55,Day,Wet,0,0.05469,0,Mild,C,7.5096334,NO,Start,0.05379,0.000524941,0,0,0.058268451
272,272,272,2578,2578,09/09/2011 18:59,09/09/2011,09/09/2011,18:59:00,36.8365224,0.4946072,1145.11,09/09/2011 06:07,10/09/2011 06:06,09/09/2011 18:55,09/09/2011 16:25,10/09/2011 04:49,0.894336088,09:54:00,0,198.3,0.40316349,0.000702395,0.001110718,25.62,09/09/2011 06:07,09/09/2011 18:55,Night,Wet,0.894336088,0.05039,0,Mild,D,7.5096334,NO,Start,0.04410566,0.000130642,0,0.759341962,0.014501262
325,325,325,2631,2631,10/09/2011 06:19,10/09/2011,10/09/2011,06:19:00,36.8365266,0.4949506,1145.11,10/09/2011 06:06,11/09/2011 06:06,10/09/2011 18:55,10/09/2011 17:10,11/09/2011 05:33,0.947790144,10:38:00,0.6,197.6,0.052476757,0.000436325,0,25.18,10/09/2011 06:06,10/09/2011 18:55,Day,Wet,0,0.04071,0,Mild,A,8.853927271,NO,Start,0.046007143,0.000436325,0,0,0.048432075
339,339,339,2645,2645,10/09/2011 09:50,10/09/2011,10/09/2011,09:50:00,36.8361187,0.4948738,1145.11,10/09/2011 06:06,11/09/2011 06:06,10/09/2011 18:55,10/09/2011 17:10,11/09/2011 05:33,0.947790144,10:38:00,0.6,197.6,0.141111162,0.000823058,0.001539124,25.18,10/09/2011 06:06,10/09/2011 18:55,Day,Wet,0,0.05182,0,Mild,B,8.853927271,NO,Start,0.055734,0.000429034,0,0,0.047622774
359,359,359,2665,2665,10/09/2011 16:50,10/09/2011,10/09/2011,16:50:00,36.8355638,0.4953696,1145.11,10/09/2011 06:06,11/09/2011 06:06,10/09/2011 18:55,10/09/2011 17:10,11/09/2011 05:33,0.947790144,10:38:00,0.6,197.6,0.071592318,0.000701788,0.001569221,25.18,10/09/2011 06:06,10/09/2011 18:55,Day,Wet,0,0.05512,0,Mild,C,8.853927271,NO,Start,0.05318,0.000603456,0,0,0.066983616
371,371,371,2677,2677,10/09/2011 19:00,10/09/2011,10/09/2011,19:00:00,36.8357043,0.495309,1145.11,10/09/2011 06:06,11/09/2011 06:06,10/09/2011 18:55,10/09/2011 17:10,11/09/2011 05:33,0.947790144,10:38:00,0.6,197.6,0.28205425,0.00084727,0.001158243,25.18,10/09/2011 06:06,10/09/2011 18:55,Night,Wet,0.947790144,0.04086,0,Mild,D,8.853927271,NO,Start,0.053944833,0.000123734,0,0.900400637,0.013734474
431,431,431,2737,2737,11/09/2011 06:10,11/09/2011,11/09/2011,06:10:00,36.8361275,0.4959905,1145.11,11/09/2011 06:06,12/09/2011 06:06,11/09/2011 18:54,11/09/2011 17:52,12/09/2011 06:14,0.981972046,11:12:00,0,177.7,0.417670803,0.000888021,0.0004592,26.71,11/09/2011 06:06,11/09/2011 18:54,Day,Wet,0,0.07419,0,Mild,A,10.07816853,NO,Start,0.056027333,0.000311765,0,0,0.034605915
446,446,446,2752,2752,11/09/2011 10:00,11/09/2011,11/09/2011,10:00:00,36.836087,0.4959098,1145.11,11/09/2011 06:06,12/09/2011 06:06,11/09/2011 18:54,11/09/2011 17:52,12/09/2011 06:14,0.981972046,11:12:00,0,177.7,0.0421114,0.000875309,0.001907448,26.71,11/09/2011 06:06,11/09/2011 18:54,Day,Wet,0,0.06279,0,Mild,B,10.07816853,NO,Start,0.058008571,0.00041222,0,0,0.04575642
467,467,467,2773,2773,11/09/2011 16:49,11/09/2011,11/09/2011,16:49:00,36.8367801,0.4945143,1145.11,11/09/2011 06:06,12/09/2011 06:06,11/09/2011 18:54,11/09/2011 17:52,12/09/2011 06:14,0.981972046,11:12:00,0,177.7,0.165962707,0.000657217,0.002080747,26.71,11/09/2011 06:06,11/09/2011 18:54,Day,Wet,0,0.03068,0,Mild,C,10.07816853,NO,Start,0.033988182,9.06E-05,0,0,0.0100566
478,478,478,2784,2784,11/09/2011 19:10,11/09/2011,11/09/2011,19:10:00,36.8369341,0.4950736,1145.11,11/09/2011 06:06,12/09/2011 06:06,11/09/2011 18:54,11/09/2011 17:52,12/09/2011 06:14,0.981972046,11:12:00,0,177.7,0.022705506,8.82E-05,0.001502301,26.71,11/09/2011 06:06,11/09/2011 18:54,Night,Wet,0.981972046,0.02932,0,Mild,D,10.07816853,NO,Start,0.041558679,0,0.132075472,0.981972046,0
531,531,531,2837,2837,12/09/2011 06:10,12/09/2011,12/09/2011,06:10:00,36.8360113,0.4948503,1145.11,12/09/2011 06:06,13/09/2011 06:05,12/09/2011 18:54,12/09/2011 18:33,13/09/2011 06:56,0.997095214,11:11:00,0,131,0.013634148,0.000930305,0.000845688,25.18,12/09/2011 06:06,12/09/2011 18:54,Day,Wet,0,0.04122,0,Mild,A,10.99808692,NO,Start,0.03973,0.000744418,0,0,0.082630398
538,538,538,2844,2844,12/09/2011 09:49,12/09/2011,12/09/2011,09:49:00,36.8362989,0.4929375,1145.11,12/09/2011 06:06,13/09/2011 06:05,12/09/2011 18:54,12/09/2011 18:33,13/09/2011 06:56,0.997095214,11:11:00,0,131,1.912136148,0.002241827,0.000584687,25.18,12/09/2011 06:06,12/09/2011 18:54,Day,Wet,0,0.10143,0,Mild,B,10.99808692,NO,Start,0.059143438,0.000411771,0,0,0.045706581
570,570,570,2876,2876,12/09/2011 16:49,12/09/2011,12/09/2011,16:49:00,36.8355922,0.4954155,1145.11,12/09/2011 06:06,13/09/2011 06:05,12/09/2011 18:54,12/09/2011 18:33,13/09/2011 06:56,0.997095214,11:11:00,0,131,0.426271299,0.000728937,0.000403168,25.18,12/09/2011 06:06,12/09/2011 18:54,Day,Wet,0,0.05928,0,Mild,C,10.99808692,NO,Start,0.067254286,0.000359391,0,0,0.039892401
577,577,577,2883,2883,12/09/2011 19:00,12/09/2011,12/09/2011,19:00:00,36.8356868,0.4953686,1145.11,12/09/2011 06:06,13/09/2011 06:05,12/09/2011 18:54,12/09/2011 18:33,13/09/2011 06:56,0.997095214,11:11:00,0,131,0.722185274,0.000824652,0.001203874,25.18,12/09/2011 06:06,12/09/2011 18:54,Night,Wet,0.997095214,0.04702,0,Mild,D,10.99808692,NO,Start,0.0498178,0.00011457,0,0.997095214,0.01271727
627,627,627,2933,2933,13/09/2011 06:10,13/09/2011,13/09/2011,06:10:00,36.8362203,0.4957754,1145.11,13/09/2011 06:05,14/09/2011 06:05,13/09/2011 18:54,13/09/2011 19:14,14/09/2011 07:37,0.993863345,10:51:00,0,129.9,0.182524656,0.000692566,0.001696643,25.22,13/09/2011 06:05,13/09/2011 18:54,Day,Wet,0,0.06358,0,Mild,A,11.15084814,NO,Start,0.057361667,0.000558421,0,0,0.061984731
639,639,639,2945,2945,13/09/2011 09:40,13/09/2011,13/09/2011,09:40:00,36.8360701,0.4955826,1145.11,13/09/2011 06:05,14/09/2011 06:05,13/09/2011 18:54,13/09/2011 19:14,14/09/2011 07:37,0.993863345,10:51:00,0,129.9,0.237189818,0.000772377,0.000718489,25.22,13/09/2011 06:05,13/09/2011 18:54,Day,Wet,0,0.06064,0,Mild,B,11.15084814,NO,Start,0.053391667,0.000110917,0,0,0.012311787
663,663,663,2969,2969,13/09/2011 17:00,13/09/2011,13/09/2011,17:00:00,36.8367309,0.4946171,1145.11,13/09/2011 06:05,14/09/2011 06:05,13/09/2011 18:54,13/09/2011 19:14,14/09/2011 07:37,0.993863345,10:51:00,0,129.9,0.148311328,0.000586205,0.001885147,25.22,13/09/2011 06:05,13/09/2011 18:54,Day,Wet,0,0.03039,0,Mild,C,11.15084814,NO,Start,0.034675556,0,0.111111111,0,0
672,672,672,2978,2978,13/09/2011 19:09,13/09/2011,13/09/2011,19:09:00,36.8364863,0.4954677,1145.11,13/09/2011 06:05,14/09/2011 06:05,13/09/2011 18:54,13/09/2011 19:14,14/09/2011 07:37,0.993863345,10:51:00,0,129.9,0.458547108,0.000342394,0.001146496,25.22,13/09/2011 06:05,13/09/2011 18:54,Night,Wet,0,0.05032,0,Mild,D,11.15084814,NO,Start,0.0538698,0.000133017,0,0.973986078,0.014764887
722,722,722,3028,3028,14/09/2011 06:10,14/09/2011,14/09/2011,06:10:00,36.8367192,0.4945262,1145.11,14/09/2011 06:05,15/09/2011 06:05,14/09/2011 18:53,14/09/2011 19:55,15/09/2011 08:19,0.973207144,10:10:00,0,129,0.141447694,0.000671873,0.002521485,27.12,14/09/2011 06:05,14/09/2011 18:53,Day,Wet,0,0.03441,0,Mild,A,10.78341729,NO,Start,0.040154667,0.000507064,0,0,0.056284104
737,737,737,3043,3043,14/09/2011 09:40,14/09/2011,14/09/2011,09:40:00,36.8367554,0.4944158,1145.11,14/09/2011 06:05,15/09/2011 06:05,14/09/2011 18:53,14/09/2011 19:55,15/09/2011 08:19,0.973207144,10:10:00,0,129,0.264242937,0.000757323,0.000584237,27.12,14/09/2011 06:05,14/09/2011 18:53,Day,Wet,0,0.03362,0,Mild,B,10.78341729,NO,Start,0.053621538,0.000262438,0,0,0.029130618
750,750,750,3056,3056,14/09/2011 17:50,14/09/2011,14/09/2011,17:50:00,36.8356256,0.494841,1145.11,14/09/2011 06:05,15/09/2011 06:05,14/09/2011 18:53,14/09/2011 19:55,15/09/2011 08:19,0.973207144,10:10:00,0,129,0.842058074,0.000921625,0.00087171,27.12,14/09/2011 06:05,14/09/2011 18:53,Day,Wet,0,0.03548,0,Mild,C,10.78341729,NO,Start,0.041596667,0.000192325,0,0,0.021348075
753,753,753,3059,3059,14/09/2011 19:10,14/09/2011,14/09/2011,19:10:00,36.8361851,0.4953189,1145.11,14/09/2011 06:05,15/09/2011 06:05,14/09/2011 18:53,14/09/2011 19:55,15/09/2011 08:19,0.973207144,10:10:00,0,129,2.046232726,0.00063337,0.000603107,27.12,14/09/2011 06:05,14/09/2011 18:53,Night,Wet,0,0.04258,0,Mild,D,10.78341729,NO,Start,0.049328596,0.000128565,0,0.921985715,0.014270715
810,810,810,3116,3116,15/09/2011 06:20,15/09/2011,15/09/2011,06:20:00,36.8362946,0.4954754,1145.11,15/09/2011 06:05,16/09/2011 06:04,15/09/2011 18:53,15/09/2011 20:39,16/09/2011 09:03,0.93613439,09:25:00,0.7,126.9,0.195805133,0.000532419,0.002250726,25.87,15/09/2011 06:05,15/09/2011 18:53,Day,Wet,0,0.05741,0,Mild,A,9.894272631,NO,Start,0.061402143,0.000484974,0,0,0.053832114
824,824,824,3130,3130,15/09/2011 10:20,15/09/2011,15/09/2011,10:20:00,36.8366103,0.4944464,1145.11,15/09/2011 06:05,16/09/2011 06:04,15/09/2011 18:53,15/09/2011 20:39,16/09/2011 09:03,0.93613439,09:25:00,0.7,126.9,1.075623433,0.000793871,0.000909967,25.87,15/09/2011 06:05,15/09/2011 18:53,Day,Wet,0,0.04114,0,Mild,B,9.894272631,NO,Start,0.042725217,0.000233104,0,0,0.025874544
847,847,847,3153,3153,15/09/2011 17:50,15/09/2011,15/09/2011,17:50:00,36.8358554,0.495789,1145.11,15/09/2011 06:05,16/09/2011 06:04,15/09/2011 18:53,15/09/2011 20:39,16/09/2011 09:03,0.93613439,09:25:00,0.7,126.9,0.386059607,0.001021792,0.000357329,25.87,15/09/2011 06:05,15/09/2011 18:53,Day,Wet,0,0.04838,0,Mild,C,9.894272631,NO,Start,0.041441667,0.000700521,0,0,0.077757831
853,853,853,3159,3159,15/09/2011 19:10,15/09/2011,15/09/2011,19:10:00,36.835524,0.4952859,1145.11,15/09/2011 06:05,16/09/2011 06:04,15/09/2011 18:53,15/09/2011 20:39,16/09/2011 09:03,0.93613439,09:25:00,0.7,126.9,0.148798421,0.000672589,0.000822143,25.87,15/09/2011 06:05,15/09/2011 18:53,Night,Wet,0,0.04824,0,Mild,D,9.894272631,NO,Start,0.0406458,0.000196068,0,0.842520951,0.021763548
903,903,903,3209,3209,16/09/2011 06:39,16/09/2011,16/09/2011,06:39:00,36.8359143,0.4949208,1145.11,16/09/2011 06:04,17/09/2011 06:04,16/09/2011 18:52,16/09/2011 21:24,17/09/2011 09:50,0.883703577,08:40:00,0,127.2,0.772044979,0.000995191,0.000850641,26.96,16/09/2011 06:04,16/09/2011 18:52,Day,Wet,0,0.03211,0,Mild,A,8.815265506,NO,Start,0.052898333,0.000693971,0,0,0.077030781
909,909,909,3215,3215,16/09/2011 09:50,16/09/2011,16/09/2011,09:50:00,36.8362261,0.4956449,1145.11,16/09/2011 06:04,17/09/2011 06:04,16/09/2011 18:52,16/09/2011 21:24,17/09/2011 09:50,0.883703577,08:40:00,0,127.2,0.066052858,0.000635791,0.001016534,26.96,16/09/2011 06:04,16/09/2011 18:52,Day,Wet,0,0.06265,0,Mild,B,8.815265506,NO,Start,0.06531,0.000635791,0,0,0.070572801
915,915,915,3221,3221,06/09/2011 11:50,06/09/2011,06/09/2011,11:50:00,36.8890597,0.3575159,1147.11,06/09/2011 06:08,07/09/2011 06:07,06/09/2011 18:56,06/09/2011 13:50,07/09/2011 02:19,0.630528904,07:23:00,2.6,168.6,0,0.006716171,0.005698338,25.65,06/09/2011 06:08,06/09/2011 18:56,Day,Wet,0,0.09562,0,Mild,B,3.328865617,NO,Start,0.202465417,0.005498489,0,0,0.610332279
939,939,939,3245,3245,06/09/2011 16:50,06/09/2011,06/09/2011,16:50:00,36.8893238,0.3590794,1147.11,06/09/2011 06:08,07/09/2011 06:07,06/09/2011 18:56,06/09/2011 13:50,07/09/2011 02:19,0.630528904,07:23:00,2.6,168.6,0.465197904,0.005565761,0.007162053,25.65,06/09/2011 06:08,06/09/2011 18:56,Day,Wet,0,0.25073,0,Mild,C,3.328865617,NO,Start,0.212302308,0.005510107,0,0,0.611621877
952,952,952,3258,3258,06/09/2011 19:00,06/09/2011,06/09/2011,19:00:00,36.8893561,0.3576652,1147.11,06/09/2011 06:08,07/09/2011 06:07,06/09/2011 18:56,06/09/2011 13:50,07/09/2011 02:19,0.630528904,07:23:00,2.6,168.6,0.038485971,0.006394785,0.002350308,25.65,06/09/2011 06:08,06/09/2011 18:56,Night,Wet,0.630528904,0.18242,0,Mild,D,3.328865617,NO,Start,0.125843061,0.006372099,0,0.437509852,0.707302989
1001,1001,1001,3307,3307,07/09/2011 07:40,07/09/2011,07/09/2011,07:40:00,36.8986827,0.3580122,1147.11,07/09/2011 06:07,08/09/2011 06:07,07/09/2011 18:56,07/09/2011 14:46,08/09/2011 03:13,0.733225625,08:17:00,30.3,171.2,9.796225829,0.005817999,0.003417327,24.82,07/09/2011 06:07,07/09/2011 18:56,Day,Wet,0,0.19432,0,Cool,A,4.655405075,NO,Start,0.195088,0.005771918,0,0,0.640682898
1011,1011,1011,3317,3317,07/09/2011 09:40,07/09/2011,07/09/2011,09:40:00,36.8987155,0.3580849,1147.11,07/09/2011 06:07,08/09/2011 06:07,07/09/2011 18:56,07/09/2011 14:46,08/09/2011 03:13,0.733225625,08:17:00,30.3,171.2,0.074795254,0.00579471,0.005311267,24.82,07/09/2011 06:07,07/09/2011 18:56,Day,Wet,0,0.19547,0,Cool,B,4.655405075,NO,Start,0.228032368,0.000220064,0,0,0.024427104
1049,1049,1049,3355,3355,07/09/2011 16:50,07/09/2011,07/09/2011,16:50:00,36.8935405,0.3620823,1147.11,07/09/2011 06:07,08/09/2011 06:07,07/09/2011 18:56,07/09/2011 14:46,08/09/2011 03:13,0.733225625,08:17:00,30.3,171.2,0.351037961,0.000459585,0.00306078,24.82,07/09/2011 06:07,07/09/2011 18:56,Day,Wet,0,0.15891,0,Cool,C,4.655405075,NO,Start,0.25371,0.000459585,0,0,0.051013935
1058,1058,1058,3364,3364,07/09/2011 18:59,07/09/2011,07/09/2011,18:59:00,36.8926932,0.3608515,1147.11,07/09/2011 06:07,08/09/2011 06:07,07/09/2011 18:56,07/09/2011 14:46,08/09/2011 03:13,0.733225625,08:17:00,30.3,171.2,0.462932965,0.001792213,0.006529702,24.82,07/09/2011 06:07,07/09/2011 18:56,Night,Wet,0.733225625,0.44613,0,Cool,D,4.655405075,NO,Start,0.204154754,0.001792213,0,0.54090415,0.198935643
1119,1119,1119,3425,3425,08/09/2011 06:10,08/09/2011,08/09/2011,06:10:00,36.8890008,0.3582161,1147.11,08/09/2011 06:07,09/09/2011 06:07,08/09/2011 18:55,08/09/2011 15:38,09/09/2011 04:03,0.822222635,09:08:00,0,200.9,0.080277581,0.006323553,0.000851929,25.16,08/09/2011 06:07,08/09/2011 18:55,Day,Wet,0,0.23704,0,Mild,A,6.07355226,NO,Start,0.236912,0.006214389,0,0,0.689797179
1139,1139,1139,3445,3445,08/09/2011 09:39,08/09/2011,08/09/2011,09:39:00,36.8890809,0.3582894,1147.11,08/09/2011 06:07,09/09/2011 06:07,08/09/2011 18:55,08/09/2011 15:38,09/09/2011 04:03,0.822222635,09:08:00,0,200.9,0.121962371,0.006215435,0.002620658,25.16,08/09/2011 06:07,08/09/2011 18:55,Day,Wet,0,0.22371,0,Mild,B,6.07355226,NO,Start,0.173140488,0.005950764,0,0,0.660534804
1180,1180,1180,3486,3486,08/09/2011 16:50,08/09/2011,08/09/2011,16:50:00,36.8882806,0.3584095,1147.11,08/09/2011 06:07,09/09/2011 06:07,08/09/2011 18:55,08/09/2011 15:38,09/09/2011 04:03,0.822222635,09:08:00,0,200.9,0.485150173,0.006805488,0.002578378,25.16,08/09/2011 06:07,08/09/2011 18:55,Day,Wet,0,0.15862,0,Mild,C,6.07355226,NO,Start,0.185048889,0.00677048,0,0,0.75152328
1189,1189,1189,3495,3495,08/09/2011 19:00,08/09/2011,08/09/2011,19:00:00,36.8879019,0.3576821,1147.11,08/09/2011 06:07,09/09/2011 06:07,08/09/2011 18:55,08/09/2011 15:38,09/09/2011 04:03,0.822222635,09:08:00,0,200.9,0.05412153,0.007525376,0.004130617,25.16,08/09/2011 06:07,08/09/2011 18:55,Night,Wet,0.822222635,0.165,0,Mild,D,6.07355226,NO,Start,0.181830161,0.007356691,0,0.676344426,0.816592701
1251,1251,1251,3557,3557,09/09/2011 06:20,09/09/2011,09/09/2011,06:20:00,36.8880635,0.3563329,1147.11,09/09/2011 06:07,10/09/2011 06:06,09/09/2011 18:55,09/09/2011 16:25,10/09/2011 04:49,0.894336088,09:54:00,0,198.3,0.293872149,0.008246994,0.004024574,25.62,09/09/2011 06:07,09/09/2011 18:55,Day,Wet,0,0.15597,0,Mild,A,7.5096334,NO,Start,0.134919412,0.006729557,0,0,0.746980827
1268,1268,1268,3574,3574,09/09/2011 09:40,09/09/2011,09/09/2011,09:40:00,36.8891613,0.3573406,1147.11,09/09/2011 06:07,10/09/2011 06:06,09/09/2011 18:55,09/09/2011 16:25,10/09/2011 04:49,0.894336088,09:54:00,0,198.3,0.06250664,0.006756818,0.007510271,25.62,09/09/2011 06:07,09/09/2011 18:55,Day,Wet,0,0.10092,0,Mild,B,7.5096334,NO,Start,0.158788333,0.006051517,0,0,0.671718387
1292,1292,1292,3598,3598,09/09/2011 16:50,09/09/2011,09/09/2011,16:50:00,36.8888275,0.3589342,1147.11,09/09/2011 06:07,10/09/2011 06:06,09/09/2011 18:55,09/09/2011 16:25,10/09/2011 04:49,0.894336088,09:54:00,0,198.3,0.031146428,0.006064823,0.002503326,25.62,09/09/2011 06:07,09/09/2011 18:55,Day,Wet,0,0.20873,0,Mild,C,7.5096334,NO,Start,0.205986923,0.00554395,0,0,0.61537845
1305,1305,1305,3611,3611,09/09/2011 19:00,09/09/2011,09/09/2011,19:00:00,36.8895636,0.3587369,1147.11,09/09/2011 06:07,10/09/2011 06:06,09/09/2011 18:55,09/09/2011 16:25,10/09/2011 04:49,0.894336088,09:54:00,0,198.3,0.018266089,0.005560833,0.001532196,25.62,09/09/2011 06:07,09/09/2011 18:55,Night,Wet,0.894336088,0.21461,0,Mild,D,7.5096334,NO,Start,0.210398667,0.005476403,0,0.789996878,0.607880733
1365,1365,1365,3671,3671,10/09/2011 06:29,10/09/2011,10/09/2011,06:29:00,36.8896277,0.3584544,1147.11,10/09/2011 06:06,11/09/2011 06:06,10/09/2011 18:55,10/09/2011 17:10,11/09/2011 05:33,0.947790144,10:38:00,0.6,197.6,0.075211834,0.00568294,0.004478333,25.18,10/09/2011 06:06,10/09/2011 18:55,Day,Wet,0,0.2126,0,Mild,A,8.853927271,NO,Start,0.260030556,0.005291964,0,0,0.587408004
1383,1383,1383,3689,3689,10/09/2011 09:39,10/09/2011,10/09/2011,09:39:00,36.8891697,0.3595166,1147.11,10/09/2011 06:06,11/09/2011 06:06,10/09/2011 18:55,10/09/2011 17:10,11/09/2011 05:33,0.947790144,10:38:00,0.6,197.6,0.107322039,0.005480712,0.004507274,25.18,10/09/2011 06:06,10/09/2011 18:55,Day,Wet,0,0.30836,0,Mild,B,8.853927271,NO,Start,0.205745,0.005480712,0,0,0.608359032
1423,1423,1423,3729,3729,10/09/2011 17:00,10/09/2011,10/09/2011,17:00:00,36.8883631,0.3574786,1147.11,10/09/2011 06:06,11/09/2011 06:06,10/09/2011 18:55,10/09/2011 17:10,11/09/2011 05:33,0.947790144,10:38:00,0.6,197.6,0.140024355,0.007280238,0.0032882,25.18,10/09/2011 06:06,10/09/2011 18:55,Day,Wet,0,0.20364,0,Mild,C,8.853927271,NO,Start,0.166181667,0.007280238,0,0,0.808106418
1435,1435,1435,3741,3741,10/09/2011 19:00,10/09/2011,10/09/2011,19:00:00,36.8884199,0.3572106,1147.11,10/09/2011 06:06,11/09/2011 06:06,10/09/2011 18:55,10/09/2011 17:10,11/09/2011 05:33,0.947790144,10:38:00,0.6,197.6,0.049526155,0.007402279,0.003628298,25.18,10/09/2011 06:06,10/09/2011 18:55,Night,Wet,0.947790144,0.17525,0,Mild,D,8.853927271,NO,Start,0.172034643,0.00617874,0,0.897015672,0.68584014
1491,1491,1491,3797,3797,11/09/2011 06:10,11/09/2011,11/09/2011,06:10:00,36.8889492,0.3581962,1147.11,11/09/2011 06:06,12/09/2011 06:06,11/09/2011 18:54,11/09/2011 17:52,12/09/2011 06:14,0.981972046,11:12:00,0,177.7,0.055847381,0.006376694,0.004506729,26.71,11/09/2011 06:06,11/09/2011 18:54,Day,Wet,0,0.24471,0,Mild,A,10.07816853,NO,Start,0.200417,0.006090516,0,0,0.676047276
1511,1511,1511,3817,3817,11/09/2011 09:39,11/09/2011,11/09/2011,09:39:00,36.8887467,0.3587923,1147.11,11/09/2011 06:06,12/09/2011 06:06,11/09/2011 18:54,11/09/2011 17:52,12/09/2011 06:14,0.981972046,11:12:00,0,177.7,0.108728745,0.006207455,0.005397913,26.71,11/09/2011 06:06,11/09/2011 18:54,Day,Wet,0,0.23324,0,Mild,B,10.07816853,NO,Start,0.25123561,0.005214,0,0,0.578754
