Date,Temp,Period
03/09/2001,29.09,A
04/09/2001,28.06,A
05/09/2001,29.71,A
06/09/2001,31.85,A
07/09/2001,30.33,A
08/09/2001,29.28,A
09/09/2001,27.56,A
10/09/2001,27.8,A
11/09/2001,27.99,A
12/09/2001,28.65,A
13/09/2001,30.15,A
14/09/2001,30.97,A
15/09/2001,29.58,A
16/09/2001,29.27,A
17/09/2001,28.57,A
18/09/2001,29.33,A
19/09/2001,29.49,A
20/09/2001,29.04,A
21/09/2001,30.21,A
22/09/2001,30.21,A
23/09/2001,30.1,A
24/09/2001,29.36,A
25/09/2001,30.42,A
26/09/2001,30.97,A
27/09/2001,30.8,A
28/09/2001,30.25,A
29/09/2001,29.85,A
30/09/2001,30.03,A
01/10/2001,29.55,A
02/10/2001,30.24,A
03/10/2001,24.2,A
04/10/2001,28.6,A
05/10/2001,28.64,A
06/10/2001,29.92,A
07/10/2001,29.85,A
08/10/2001,28.73,A
09/10/2001,28.79,A
10/10/2001,29.04,A
11/10/2001,29.34,A
12/10/2001,29.09,A
13/10/2001,29.4,A
14/10/2001,28.88,A
15/10/2001,29.25,A
16/10/2001,28.65,A
17/10/2001,30,A
18/10/2001,30.97,A
19/10/2001,31.52,A
20/10/2001,29.73,A
21/10/2001,29.49,A
22/10/2001,30.63,A
23/10/2001,29.67,A
24/10/2001,30.45,A
25/10/2001,28.96,A
26/10/2001,28.56,A
27/10/2001,29.07,A
28/10/2001,28,A
29/10/2001,28.05,A
30/10/2001,25.99,A
31/10/2001,28.1,A
01/11/2001,25.64,A
02/11/2001,24.35,A
03/11/2001,25.01,A
04/11/2001,22.54,A
05/11/2001,22.91,A
06/11/2001,24.7,A
07/11/2001,27.2,A
08/11/2001,28.43,A
09/11/2001,27.51,A
10/11/2001,25.6,A
11/11/2001,20.4,A
12/11/2001,28.03,A
13/11/2001,26.56,A
14/11/2001,25,A
15/11/2001,25.85,A
16/11/2001,24.44,A
17/11/2001,27.45,A
18/11/2001,27.78,A
19/11/2001,28.19,A
20/11/2001,27.14,A
21/11/2001,26.83,A
22/11/2001,25.02,A
23/11/2001,26.13,A
24/11/2001,26.47,A
