ID	LocalDate	LocalTime	ActivityX	ActivityY	Temp
WDM131	05/08/2014	18:30:00	7	34	-23
WDM131	05/08/2014	18:35:00	7	33	-23
WDM131	05/08/2014	18:40:00	9	37	-22
WDM131	05/08/2014	18:45:00	9	38	-22
WDM131	05/08/2014	18:50:00	7	36	-22
WDM131	05/08/2014	18:55:00	6	39	-20
WDM131	05/08/2014	19:00:00	8	41	-20
WDM131	05/08/2014	19:05:00	6	41	-20
WDM131	05/08/2014	19:10:00	9	44	-19
WDM131	05/08/2014	19:15:00	5	41	-19
WDM131	05/08/2014	19:20:00	9	43	-19
WDM131	05/08/2014	19:25:00	6	44	-18
WDM131	05/08/2014	19:30:00	7	41	-18
WDM131	05/08/2014	19:35:00	8	47	-18
WDM131	05/08/2014	19:40:00	6	41	-17
WDM131	05/08/2014	19:45:00	7	47	-17
WDM131	05/08/2014	19:50:00	8	45	-17
WDM131	05/08/2014	19:55:00	7	45	-16
WDM131	05/08/2014	20:00:00	7	42	-16
WDM131	05/08/2014	20:05:00	10	51	-16
WDM131	05/08/2014	20:10:00	7	41	-15
WDM131	05/08/2014	20:15:00	10	44	-15
WDM131	05/08/2014	20:20:00	7	45	-15
WDM131	05/08/2014	20:25:00	8	44	-14
WDM131	05/08/2014	20:30:00	9	43	-14
WDM131	05/08/2014	20:35:00	9	45	-14
WDM131	05/08/2014	20:40:00	8	44	-13
WDM131	05/08/2014	20:45:00	10	42	-13
WDM131	05/08/2014	20:50:00	8	46	-13
WDM131	05/08/2014	20:55:00	9	40	-12
WDM131	05/08/2014	21:00:00	9	45	-12
WDM131	05/08/2014	21:05:00	9	44	-12
WDM131	05/08/2014	21:10:00	12	39	-10
WDM131	05/08/2014	21:15:00	12	42	-10
WDM131	05/08/2014	21:20:00	11	42	-9
WDM131	05/08/2014	21:25:00	9	43	-9
WDM131	05/08/2014	21:30:00	10	44	-9
WDM131	05/08/2014	21:35:00	9	40	-8
WDM131	05/08/2014	21:45:00	8	45	-8
WDM131	05/08/2014	21:50:00	9	42	-8
WDM131	05/08/2014	21:55:00	10	40	-7
WDM131	05/08/2014	22:00:00	9	43	-7
WDM131	05/08/2014	22:05:00	9	44	-7
WDM131	05/08/2014	22:10:00	11	39	-5
WDM131	05/08/2014	22:15:00	9	45	-5
WDM131	05/08/2014	22:20:00	9	41	-5
WDM131	05/08/2014	22:25:00	9	42	-4
WDM131	05/08/2014	22:30:00	10	42	-4
WDM131	05/08/2014	22:35:00	8	43	-4
WDM131	05/08/2014	22:40:00	10	46	-3
WDM131	05/08/2014	22:45:00	10	45	-3
WDM131	05/08/2014	22:50:00	9	47	-3
WDM131	05/08/2014	22:55:00	11	54	-2
WDM131	05/08/2014	23:00:00	11	52	-2
WDM131	05/08/2014	23:05:00	9	53	-2
WDM131	05/08/2014	23:10:00	9	54	-1
WDM131	05/08/2014	23:15:00	7	55	-1
WDM131	05/08/2014	23:20:00	8	54	-1
WDM131	05/08/2014	23:25:00	9	57	0
WDM131	05/08/2014	23:30:00	8	54	0
WDM131	05/08/2014	23:35:00	7	57	1
WDM131	05/08/2014	23:40:00	7	59	1
WDM131	05/08/2014	23:45:00	10	61	1
WDM131	05/08/2014	23:50:00	8	60	2
WDM131	05/08/2014	23:55:00	10	61	2
WDM131	06/08/2014	00:00:00	7	66	2
WDM131	06/08/2014	00:05:00	7	62	3
WDM131	06/08/2014	00:10:00	8	64	3
WDM131	06/08/2014	00:15:00	8	64	3
WDM131	06/08/2014	00:20:00	8	72	4
WDM131	06/08/2014	00:25:00	9	70	4
WDM131	06/08/2014	00:30:00	8	72	4
WDM131	06/08/2014	00:35:00	7	76	5
WDM131	06/08/2014	00:40:00	8	77	5
WDM131	06/08/2014	00:45:00	6	76	5
WDM131	06/08/2014	00:50:00	8	76	6
WDM131	06/08/2014	00:55:00	9	78	6
WDM131	06/08/2014	01:00:00	8	71	6
WDM131	06/08/2014	01:05:00	7	72	7
WDM131	06/08/2014	01:10:00	7	72	7
WDM131	06/08/2014	01:15:00	8	76	7
WDM131	06/08/2014	01:20:00	9	72	8
WDM131	06/08/2014	01:25:00	7	84	8
WDM131	06/08/2014	01:30:00	8	77	9
WDM131	06/08/2014	01:35:00	8	81	9
WDM131	06/08/2014	01:40:00	10	78	9
WDM131	06/08/2014	01:45:00	9	82	10
WDM131	06/08/2014	01:50:00	8	83	10
WDM131	06/08/2014	01:55:00	8	84	10
WDM131	06/08/2014	02:00:00	8	80	10
WDM131	06/08/2014	02:05:00	7	84	11
WDM131	06/08/2014	02:10:00	8	83	11
WDM131	06/08/2014	02:15:00	8	85	12
WDM131	06/08/2014	02:20:00	8	90	12
WDM131	06/08/2014	02:25:00	9	90	12
WDM131	06/08/2014	02:30:00	6	96	13
WDM131	06/08/2014	02:35:00	8	97	13
WDM131	06/08/2014	02:40:00	7	99	13
WDM131	06/08/2014	02:45:00	5	105	14
WDM131	06/08/2014	02:50:00	7	107	14
WDM131	06/08/2014	02:55:00	7	106	14
WDM131	07/08/2014	03:00:00	6	110	15
WDM131	06/08/2014	03:05:00	6	105	15
WDM131	06/08/2014	03:10:00	6	99	16
WDM131	06/08/2014	03:15:00	9	100	16
WDM131	06/08/2014	03:20:00	6	103	16
WDM131	06/08/2014	03:25:00	6	108	17
WDM131	06/08/2014	03:30:00	9	106	17
WDM131	06/08/2014	03:35:00	6	108	17
WDM131	06/08/2014	03:40:00	6	112	18
WDM131	06/08/2014	03:45:00	7	108	18
WDM131	06/08/2014	03:55:00	7	110	18
WDM131	06/08/2014	04:00:00	7	115	19
WDM131	06/08/2014	04:05:00	7	111	19
WDM131	06/08/2014	04:10:00	8	111	19
WDM131	06/08/2014	04:15:00	9	109	20
WDM131	06/08/2014	04:20:00	10	112	20
WDM131	06/08/2014	04:25:00	6	115	20
