Dog,ID,UTC.Date,UTC.Time,ActivityX,ActivityY,LocalDate,LocalDate2,LocalTime,timedate,conc,timedate.local,Duration,SumAct,SSDateTime,SSDate,SSTime,Bout,Intensity,PartOfDay,Stop.time.or.start,StopTime_Previous,Pack,Dusk,Dawn,Moonlight,Moonlight_before,Babysit,Babysit morning,Babysit evening,Denning,Temperature,Temp_cent,Rainfall,n
96,WDF96,17/03/2008,03:05:00,51,45,17/03/2008,18/03/2012,06:05:00,17/03/2008 03:05,WDF9640986,17/03/2008 06:05,165,8398,17/03/2008 06:05,17/03/2008,06:05:00,Start,50.8969697,Morning,08:50:00,17/03/2008 05:45,Loisaba,18/03/2012 06:17,18/03/2012 19:05,0.202861095,0.487610238,no,no,no,No,32.09,4.415262396,0,1
96,WDF96,18/03/2008,02:55:00,0,4,18/03/2008,19/03/2012,05:55:00,18/03/2008 02:55,WDF9640987,18/03/2008 05:55,190,8865,18/03/2008 05:55,18/03/2008,05:55:00,Start,46.65789474,Morning,09:05:00,18/03/2008 04:35,Loisaba,19/03/2012 06:17,19/03/2012 19:05,0.059861598,7.958426096,no,no,no,No,31.82,4.145262396,0,1
96,WDF96,28/03/2008,02:40:00,67,90,28/03/2008,29/03/2012,05:40:00,28/03/2008 02:40,WDF9640997,28/03/2008 05:40,135,7424,28/03/2008 05:40,28/03/2008,05:40:00,Start,54.99259259,Morning,07:55:00,28/03/2008 04:35,Loisaba,29/03/2012 06:14,29/03/2012 19:02,2.421602697,11.19502604,no,no,no,No,31.41,3.735262396,0,1
96,WDF96,23/09/2008,02:50:00,125,188,23/09/2008,24/09/2012,05:50:00,23/09/2008 02:50,WDF9641176,23/09/2008 05:50,155,10563,23/09/2008 05:50,23/09/2008,05:50:00,Start,68.14839,Morning,08:25:00,23/09/2008 05:15,Loisaba,24/09/2012 06:01,24/09/2012 18:49,5.910183958,0.965926422,no,no,no,No,31.16,3.485262396,0,1
96,WDF96,29/03/2008,02:50:00,77,53,29/03/2008,30/03/2012,05:50:00,29/03/2008 02:50,WDF9640998,29/03/2008 05:50,175,8680,29/03/2008 05:50,29/03/2008,05:50:00,Start,49.6,Morning,08:45:00,29/03/2008 05:15,Loisaba,30/03/2012 06:13,30/03/2012 19:02,3.427385179,5.910183958,no,no,no,No,31.14,3.465262396,0,1
96,WDF96,19/04/2008,03:05:00,8,13,19/04/2008,20/04/2012,06:05:00,19/04/2008 03:05,WDF9641019,19/04/2008 06:05,270,11964,19/04/2008 06:05,19/04/2008,06:05:00,Start,44.31111111,Morning,10:35:00,19/04/2008 04:55,Loisaba,20/04/2012 06:07,20/04/2012 18:57,0,9.241755575,no,no,no,No,31.07,3.395262396,0,1
96,WDF96,18/04/2008,03:05:00,107,151,18/04/2008,19/04/2012,06:05:00,18/04/2008 03:05,WDF9641018,18/04/2008 06:05,200,7815,18/04/2008 06:05,18/04/2008,06:05:00,Start,39.075,Morning,09:25:00,18/04/2008 04:30,Loisaba,19/04/2012 06:07,19/04/2012 18:57,0.003052663,0.807535391,no,no,no,No,30.92,3.245262396,0,1
96,WDF96,27/03/2008,03:00:00,68,47,27/03/2008,28/03/2012,06:00:00,27/03/2008 03:00,WDF9640996,27/03/2008 06:00,170,5815,27/03/2008 06:00,27/03/2008,06:00:00,Start,34.20588235,Morning,08:50:00,27/03/2008 05:40,Loisaba,28/03/2012 06:14,28/03/2012 19:02,1.601684149,0.18486522,no,no,no,No,30.67,2.995262396,0,1
96,WDF96,14/03/2008,02:00:00,35,40,14/03/2008,15/03/2012,05:00:00,14/03/2008 02:00,WDF9640983,14/03/2008 05:00,290,7945,14/03/2008 05:00,14/03/2008,05:00:00,Start,27.39655172,Morning,09:50:00,14/03/2008 04:20,Loisaba,15/03/2012 06:18,15/03/2012 19:06,1.700155161,2.706418016,no,no,no,No,30.64,2.965262396,0,1
96,WDF96,20/04/2008,03:05:00,96,125,20/04/2008,21/04/2012,06:05:00,20/04/2008 03:05,WDF9641020,20/04/2008 06:05,215,11766,20/04/2008 06:05,20/04/2008,06:05:00,Start,54.7255814,Morning,09:40:00,20/04/2008 05:15,Loisaba,21/04/2012 06:07,21/04/2012 18:56,0,6.871956233,no,no,no,No,30.6,2.925262396,7.37,1
